ALTITUDE (m),HEART RATE (bpm),EPOC (ml/kg),VENTILATION (l/min),VO2 (ml/kg/min),ENERGY (kcal),SPEED,CADENCE,TEMPERATURE (C),DISTANCE (m),RESPIRATION RATE (bpm),SECONDS,IBI,CORRECTED,
530,144,74.3957,43,21,7.23236,2.83133,0,28,11752,29,4300,393,393,
526,143,73.6789,42,20,6.74348,2.97711,0,28,11784,29,4310,393,393,
524,142,72.9531,43,20,6.63818,2.9257,0,28,11813,28,4320,398,398,
520,143,72.2882,44,21,7.11704,2.87523,0,28,11842,28,4330,394,394,
519,145,71.5392,44,24,7.90342,2.82508,0,28,11870,27,4340,395,395,
515,145,71.0313,43,24,8.11077,2.77503,0,28,11898,27,4350,395,395,
512,146,70.4747,40,23,7.68993,2.72501,0,29,11925,27,4360,398,398,
510,144,69.8092,38,20,6.75146,2.70834,0,28,11952,26,4370,394,394,
507,141,68.7855,36,17,5.61036,2.70278,0,28,11979,26,4380,394,394,
504,140,67.9748,36,15,5.17116,2.70093,0,28,12006,25,4390,395,395,
501,139,67.1892,38,16,5.40043,2.73364,0,28,12033,25,4400,398,398,
497,142,66.4918,40,19,6.30962,2.81121,0,29,12061,25,4410,394,394,
495,144,65.752,42,23,7.63441,2.90374,0,29,12090,25,4420,393,393,
493,146,65.2626,40,23,7.89469,2.93458,0,29,12120,25,4430,396,396,
493,145,64.7461,40,23,7.64182,2.91153,0,29,12149,25,4440,396,396,
492,145,64.2008,39,22,7.37799,2.90384,0,28,12178,25,4450,393,393,
491,144,63.4644,41,22,7.31842,2.93461,0,28,12207,25,4460,393,393,
486,144,63.0235,45,24,8.06292,2.9782,0,29,12237,26,4470,395,395,
486,146,62.8185,48,28,9.32074,2.99273,0,28,12267,26,4480,395,395,
487,149,62.8193,50,31,10.4462,2.99758,0,28,12297,27,4490,390,390,
488,151,62.9852,50,33,11.1214,2.99919,0,28,12327,27,4500,393,393,
488,152,63.0916,48,33,10.9314,2.9664,0,28,12357,27,4510,391,391,
486,150,63.089,46,31,10.3009,2.92213,0,28,12386,27,4520,396,396,
482,148,62.9892,46,29,9.75442,2.90738,0,28,12415,27,4530,389,389,
482,148,62.8328,47,29,9.72213,2.93579,0,28,12444,27,4540,393,393,
482,148,62.837,51,31,10.4192,2.9786,0,28,12474,26,4550,392,392,
482,151,63.0109,53,34,11.3616,2.9262,0,28,12504,26,4560,394,394,
484,153,63.2779,52,35,11.8221,2.84207,0,28,12532,26,4570,387,387,
483,153,63.5199,46,33,11.1545,2.84736,0,28,12560,26,4580,392,392,
481,149,63.448,43,30,9.89224,2.88245,0,28,12589,27,4590,394,394,
480,147,63.2416,45,27,9.14475,2.92748,0,28,12618,27,4600,393,393,
477,147,63.0409,47,28,9.22006,3.00916,0,28,12648,27,4610,386,386,
477,148,62.8552,48,29,9.60961,3.03639,0,28,12679,28,4620,390,390,
476,148,62.7379,48,29,9.6793,3.04546,0,28,12709,29,4630,391,391,
475,148,62.6442,50,29,9.82436,3.11515,0,28,12740,29,4640,396,396,
475,148,62.5963,51,30,10.0946,3.13838,0,28,12772,30,4650,389,389,
474,149,62.5763,52,31,10.2759,3.07946,0,28,12803,31,4660,387,387,
473,149,62.5648,53,31,10.276,3.02649,0,28,12833,32,4670,391,391,
473,148,62.5875,56,31,10.4898,3.00883,0,28,12863,33,4680,395,395,
473,149,62.726,60,33,11.1642,3.00294,0,28,12893,34,4690,388,388,
474,152,63.1654,64,36,12.2794,3.00098,0,29,12923,34,4700,387,387,
475,155,63.6473,66,38,12.8575,2.96699,0,29,12953,35,4710,390,390,
476,157,64.1643,65,39,13.004,2.889,0,29,12982,36,4720,395,395,
476,155,64.6371,63,38,12.7795,2.863,0,29,13010,36,4730,388,388,
474,154,65.1366,62,36,12.2365,2.921,0,29,13039,36,4740,387,387,
472,151,65.4222,62,35,11.8987,3.007,0,29,13069,36,4750,390,390,
472,151,65.7077,63,35,11.9226,3.00233,0,28,13100,36,4760,394,394,
472,152,66.0466,64,36,12.2081,2.96744,0,28,13129,35,4770,389,389,
472,154,66.6398,66,38,12.8032,3.05581,0,28,13159,35,4780,385,385,
472,157,67.2073,68,39,13.2745,3.05194,0,28,13191,34,4790,389,389,
477,158,67.8688,71,40,13.6888,2.95065,0,28,13220,34,4800,394,394,
478,160,68.5888,69,41,13.9286,2.98355,0,28,13249,33,4810,386,386,
477,160,69.5254,62,41,13.796,2.99452,0,28,13280,33,4820,385,385,
477,158,70.1308,61,40,13.4219,2.99817,0,28,13309,32,4830,390,390,
477,157,70.6555,59,39,13.0715,3.03272,0,28,13340,31,4840,392,392,
477,156,71.0919,56,38,12.6643,2.94424,0,28,13370,31,4850,389,389,
476,154,71.4913,52,35,11.9152,2.94808,0,28,13398,30,4860,386,386,
473,152,71.6207,50,33,11.1903,3.01603,0,28,13429,29,4870,389,389,
471,150,71.5989,47,31,10.3896,3.00534,0,28,13459,28,4880,391,391,
469,149,71.3636,42,28,9.28242,3.03511,0,28,13489,27,4890,389,389,
464,146,70.6516,39,22,7.54392,3.04504,0,28,13520,26,4900,386,386,
463,144,69.9933,39,21,6.90545,2.98168,0,28,13550,25,4910,390,390,
463,144,69.3319,39,20,6.84545,2.89389,0,28,13579,24,4920,391,391,
457,144,68.6675,37,20,6.74541,2.89796,0,28,13607,24,4930,391,391,
454,143,67.7696,38,20,6.60706,2.99932,0,28,13637,23,4940,388,388,
448,144,67.1486,40,21,7.01642,3.09977,0,28,13668,24,4950,392,392,
448,145,66.6164,42,23,7.69044,3.13326,0,29,13700,24,4960,394,394,
445,146,66.2427,45,26,8.64578,3.14442,0,29,13731,24,4970,391,391,
445,149,66.1827,51,31,10.5238,3.18147,0,29,13763,25,4980,391,391,
446,154,66.354,51,34,11.3653,3.19382,0,29,13795,25,4990,394,394,
446,152,66.5911,53,35,11.7036,3.16461,0,29,13827,25,5000,393,393,
446,154,66.9024,54,36,12.0894,3.0882,0,29,13858,25,5010,391,391,
446,155,67.3153,50,36,11.991,2.99607,0,29,13888,25,5020,391,391,
445,153,67.4891,47,34,11.3309,2.96536,0,29,13917,25,5030,396,396,
445,151,67.4733,43,31,10.2921,3.02179,0,29,13947,25,5040,393,393,
442,148,67.2576,42,27,9.16309,3.0406,0,29,13978,25,5050,391,391,
438,147,66.6721,39,23,7.79649,2.9802,0,29,14008,25,5060,390,390,
437,144,66.0362,38,20,6.69637,2.8934,0,29,14037,26,5070,394,394,
433,142,65.3779,41,19,6.50688,2.93113,0,29,14065,26,5080,394,394,
430,144,64.8767,46,23,7.67977,3.04371,0,29,14096,26,5090,388,388,
426,148,64.7398,52,31,10.246,3.08124,0,29,14127,26,5100,389,389,
425,154,64.8277,47,32,10.8588,3.09375,0,29,14158,26,5110,396,396,
424,150,64.7577,43,30,9.90437,3.03125,0,29,14189,26,5120,391,391,
421,148,64.4543,40,26,8.59334,2.94375,0,29,14218,26,5130,387,387,
420,145,63.704,36,20,6.80164,2.91458,0,29,14247,25,5140,388,388,
415,143,62.9754,31,16,5.25958,2.83819,0,29,14276,24,5150,393,393,
408,140,62.149,25,10,3.55041,2.74606,0,29,14303,24,5160,389,389,
406,134,61.2862,23,7,2.53059,2.61535,0,29,14330,23,5170,387,387,
403,131,60.1412,25,6,2.28134,2.50512,0,29,14354,22,5180,389,389,
399,132,59.3019,28,7,2.48324,2.46837,0,29,14379,22,5190,393,393,
396,135,58.4858,29,8,2.86283,2.55612,0,29,14403,21,5200,386,386,
391,137,57.6956,30,9,3.27833,2.75204,0,29,14431,21,5210,387,387,
385,138,56.6923,33,12,3.95497,2.88401,0,29,14460,22,5220,390,390,
383,140,55.9974,35,14,4.72678,2.86134,0,29,14490,22,5230,390,390,
382,142,55.3639,37,16,5.54839,2.78711,0,29,14517,22,5240,389,389,
378,143,54.7851,37,18,6.16554,2.9957,0,29,14545,23,5250,387,387,
373,144,54.0948,40,20,6.84881,3.06523,0,29,14579,23,5260,390,390,
369,145,53.6835,42,23,7.63844,2.98841,0,29,14607,24,5270,390,390,
365,147,53.3433,40,24,7.92026,2.99614,0,29,14638,24,5280,387,387,
359,146,52.8845,36,21,6.94907,2.89871,0,29,14667,25,5290,387,387,
355,141,52.1376,38,18,5.90874,2.79957,0,29,14695,25,5300,388,388,
351,143,51.6145,41,19,6.3916,2.76652,0,29,14722,26,5310,392,392,
347,145,51.1299,40,20,6.76195,2.82217,0,29,14750,26,5320,388,388,
342,144,50.6528,40,20,6.77659,2.84072,0,29,14779,26,5330,388,388,
338,144,50.0146,39,20,6.66499,2.78024,0,29,14807,26,5340,391,391,
334,143,49.5296,40,19,6.555,2.66008,0,29,14834,26,5350,389,389,
330,144,49.0469,39,19,6.52218,2.62003,0,29,14859,26,5360,387,387,
325,143,48.5601,39,19,6.40341,2.70668,0,29,14886,26,5370,387,387,
322,143,47.9089,39,19,6.31058,2.76889,0,29,14914,26,5380,391,391,
317,143,47.6023,39,19,6.31158,2.78963,0,29,14942,25,5390,386,386,
313,143,47.6023,39,19,6.31158,2.78963,0,29,14970,25,5400,386,386,
